Ship Mode,Segment,City,State,Region,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
Second Class,Consumer,Fort Collins,Colorado,West,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,579.136,4,0.2,-28.9568
Standard Class,Home Office,New York City,New York,East,Chairs,"Global Geo Office Task Chair, Gray",145.764,2,0.1,-8.098
Standard Class,Home Office,New York City,New York,East,Chairs,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,434.646,3,0.1,62.7822
Standard Class,Consumer,Philadelphia,Pennsylvania,East,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",844.116,6,0.3,-36.1764
Standard Class,Corporate,Seattle,Washington,West,Furnishings,24-Hour Round Wall Clock,79.92,4,0.0,34.3656
Standard Class,Corporate,Fort Worth,Texas,Central,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",623.4648,7,0.32,-119.1918
Standard Class,Consumer,Detroit,Michigan,Central,Furnishings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3,0.0,30.0234
Second Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",15.008,2,0.2,1.5008
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Tables,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",241.92,4,0.4,-56.448
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Bookcases,O'Sullivan 5-Shelf Heavy-Duty Bookcases,163.88,4,0.5,-81.94
First Class,Consumer,Tucson,Arizona,West,Furnishings,"Computer Room Manger, 14""",51.968,2,0.2,10.3936
First Class,Consumer,Tucson,Arizona,West,Chairs,Global Low Back Tilter Chair,242.352,3,0.2,-42.4116
Same Day,Consumer,Detroit,Michigan,Central,Chairs,Hon Valutask Swivel Chairs,302.94,3,0.0,48.4704
Same Day,Consumer,Detroit,Michigan,Central,Chairs,Harbour Creations 67200 Series Stacking Chairs,142.36,2,0.0,38.4372
Same Day,Consumer,Detroit,Michigan,Central,Chairs,"Global Value Steno Chair, Gray",546.66,8,0.0,136.665
Same Day,Consumer,Detroit,Michigan,Central,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",212.13,3,0.0,14.8491
Standard Class,Home Office,Austin,Texas,Central,Furnishings,Telescoping Adjustable Floor Lamp,10.02,1,0.6,-6.9965
First Class,Consumer,Waterbury,Connecticut,East,Furnishings,Eldon Advantage Chair Mats for Low to Medium Pile Carpets,173.24,4,0.0,17.324
Standard Class,Consumer,Huntsville,Texas,Central,Furnishings,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",56.568,2,0.6,-74.9526
Second Class,Home Office,Seattle,Washington,West,Tables,"Bevis Oval Conference Table, Walnut",521.96,2,0.0,88.7332
Second Class,Consumer,Aurora,Illinois,Central,Tables,"Bevis Round Conference Table Top, X-Base",268.935,3,0.5,-153.3456
Second Class,Home Office,New York City,New York,East,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",275.952,3,0.2,-37.9434
Second Class,Consumer,San Diego,California,West,Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,19.92,3,0.0,9.5616
Standard Class,Corporate,New York City,New York,East,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",658.746,3,0.1,146.388
Standard Class,Consumer,Long Beach,California,West,Tables,Hon 61000 Series Interactive Training Tables,35.544,1,0.2,-0.8886
Same Day,Corporate,San Francisco,California,West,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",35.28,3,0.0,11.9952
Standard Class,Consumer,Jackson,Tennessee,South,Chairs,Office Star - Mesh Screen back chair with Vinyl seat,209.568,2,0.2,-23.5764
Standard Class,Consumer,Chicago,Illinois,Central,Furnishings,Contemporary Wood/Metal Frame,10.02,1,0.6,-4.04
First Class,Consumer,Buffalo,New York,East,Chairs,"Situations Contoured Folding Chairs, 4/Set",63.882,1,0.1,10.647
Standard Class,Consumer,Houston,Texas,Central,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",683.144,4,0.3,0.0
Standard Class,Consumer,Colorado Springs,Colorado,West,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish",69.576,4,0.6,-143.7904
Standard Class,Consumer,Colorado Springs,Colorado,West,Furnishings,"Master Caster Door Stop, Large Neon Orange",52.416,8,0.2,15.0696
Standard Class,Consumer,Colorado Springs,Colorado,West,Furnishings,DAX Wood Document Frame,54.92,5,0.2,10.984
Standard Class,Consumer,Colorado Springs,Colorado,West,Tables,Bevis Rectangular Conference Tables,364.95,5,0.5,-153.3456
Standard Class,Corporate,Los Angeles,California,West,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",43.13,1,0.0,18.1146
Standard Class,Corporate,Jacksonville,Florida,South,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",30.192,3,0.2,8.3028
Second Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,Nu-Dell Executive Frame,91.008,8,0.2,19.3392
Second Class,Consumer,Philadelphia,Pennsylvania,East,Chairs,Global Ergonomic Managers Chair,380.058,3,0.3,-21.7176
Second Class,Consumer,Philadelphia,Pennsylvania,East,Furnishings,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",48.576,3,0.2,9.7152
Standard Class,Consumer,Columbus,Ohio,East,Chairs,"Global Value Steno Chair, Gray",127.554,3,0.3,-9.111
Standard Class,Consumer,Columbus,Ohio,East,Furnishings,"Computer Room Manger, 14""",77.952,3,0.2,15.5904
Standard Class,Home Office,Henderson,Kentucky,South,Furnishings,9-3/4 Diameter Round Wall Clock,27.58,2,0.0,11.5836
Standard Class,Consumer,Pasco,Washington,West,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",975.92,5,0.2,121.99
Second Class,Consumer,Oakland,California,West,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",12.54,3,0.0,4.5144
Second Class,Consumer,Oakland,California,West,Furnishings,Longer-Life Soft White Bulbs,10.02,3,0.0,4.4352
Standard Class,Consumer,Los Angeles,California,West,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",77.6,4,0.0,38.024
Standard Class,Consumer,Los Angeles,California,West,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",464.85,8,0.0,92.97
Standard Class,Consumer,Seattle,Washington,West,Chairs,Global Troy Executive Leather Low-Back Tilter,1317.492,6,0.2,150.294
Second Class,Corporate,Henderson,Kentucky,South,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",975.92,4,0.0,190.4298
Second Class,Corporate,Marietta,Georgia,South,Chairs,"Global Push Button Manager's Chair, Indigo",182.67,3,0.0,52.9743
First Class,Consumer,Parma,Ohio,East,Chairs,Global Italian Leather Office Chair,183.372,2,0.3,-7.8588
Second Class,Corporate,Houston,Texas,Central,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,674.058,3,0.3,-19.2588
Second Class,Consumer,League City,Texas,Central,Chairs,Hon Every-Day Chair Series Swivel Task Chairs,254.058,3,0.3,-32.6646
Standard Class,Corporate,Gaithersburg,Maryland,East,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",173.94,3,0.0,38.2668
Standard Class,Consumer,Chicago,Illinois,Central,Tables,"Lesro Round Back Collection Coffee Table, End Table",91.275,1,0.5,-67.5435
Standard Class,Home Office,Fairfield,Connecticut,East,Chairs,Global Comet Stacking Armless Chair,897.15,3,0.0,190.4298
Standard Class,Consumer,San Francisco,California,West,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",333.999,3,0.15,3.9294
Standard Class,Consumer,Wilmington,Delaware,East,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,1268.82,8,0.0,190.4298
Standard Class,Consumer,Wilmington,Delaware,East,Bookcases,"Hon Metal Bookcases, Putty",283.92,4,0.0,82.3368
Standard Class,Consumer,Los Angeles,California,West,Furnishings,Eldon 200 Class Desk Accessories,18.84,3,0.0,6.0288
Second Class,Corporate,North Las Vegas,Nevada,West,Furnishings,"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",37.4,2,0.0,14.212
First Class,Consumer,Seattle,Washington,West,Chairs,"Global Push Button Manager's Chair, Indigo",48.712,1,0.2,5.4801
Second Class,Home Office,Providence,Rhode Island,East,Chairs,Office Star Flex Back Scooter Chair with White Frame,110.98,1,0.0,15.5372
First Class,Corporate,Jacksonville,Florida,South,Chairs,High-Back Leather Manager's Chair,207.984,2,0.2,-28.5978
First Class,Corporate,Jacksonville,Florida,South,Furnishings,"Executive Impressions 14"" Contract Wall Clock",35.568,2,0.2,5.7798
Standard Class,Home Office,Colorado Springs,Colorado,West,Chairs,SAFCO Arco Folding Chair,1317.492,6,0.2,149.148
Standard Class,Corporate,Memphis,Tennessee,South,Furnishings,"Master Caster Door Stop, Brown",20.32,5,0.2,3.556
First Class,Corporate,Phoenix,Arizona,West,Bookcases,Bestar Classic Bookcase,209.979,7,0.6,-153.3456
Standard Class,Consumer,Toledo,Ohio,East,Furnishings,"Eldon 200 Class Desk Accessories, Burgundy",35.168,7,0.2,9.6712
First Class,Consumer,Los Angeles,California,West,Furnishings,Eldon 100 Class Desk Accessories,10.11,3,0.0,3.2352
Standard Class,Consumer,San Diego,California,West,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Oak",39.92,4,0.0,11.1776
Standard Class,Consumer,Oklahoma City,Oklahoma,Central,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,302.67,3,0.0,72.6408
Standard Class,Corporate,Vineland,New Jersey,East,Chairs,Novimex Turbo Task Chair,212.94,3,0.0,25.5528
Second Class,Home Office,Milwaukee,Wisconsin,Central,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,687.4,5,0.0,48.118
Standard Class,Corporate,Seattle,Washington,West,Tables,"Chromcraft Bull-Nose Wood Round Conference Table Top, Wood Base",653.55,3,0.0,111.1035
First Class,Corporate,Wilmington,Delaware,East,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",199.836,4,0.3,-37.1124
Second Class,Consumer,Los Angeles,California,West,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",467.46,8,0.0,190.4298
Second Class,Consumer,Dallas,Texas,Central,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,1317.492,8,0.32,-153.3456
Standard Class,Consumer,Minneapolis,Minnesota,Central,Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",123.96,3,0.0,11.1564
Standard Class,Consumer,Burlington,North Carolina,South,Tables,Bush Advantage Collection Racetrack Conference Table,1317.492,7,0.4,-153.3456
Standard Class,Home Office,Trenton,Michigan,Central,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,53.88,6,0.0,22.6296
Second Class,Consumer,Houston,Texas,Central,Tables,Bush Advantage Collection Round Conference Table,744.1,5,0.3,-95.67
Second Class,Consumer,Houston,Texas,Central,Tables,Riverside Furniture Stanwyck Manor Table Series,401.59,2,0.3,-131.951
Standard Class,Consumer,San Francisco,California,West,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish",359.499,3,0.15,-29.6058
Standard Class,Consumer,Chicago,Illinois,Central,Tables,KI Adjustable-Height Table,214.95,5,0.5,-120.372
Standard Class,Consumer,Chicago,Illinois,Central,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,10.776,3,0.6,-4.8492
Standard Class,Consumer,Deltona,Florida,South,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",186.304,4,0.2,13.9728
Same Day,Consumer,Chicago,Illinois,Central,Furnishings,"Eldon Imge Series Desk Accessories, Clear",17.496,8,0.6,-7.4358
Same Day,Consumer,New York City,New York,East,Tables,KI Adjustable-Height Table,464.292,8,0.4,-108.3348
Standard Class,Corporate,Anaheim,California,West,Furnishings,Nu-Dell Executive Frame,101.12,8,0.0,37.4144
Standard Class,Corporate,Oklahoma City,Oklahoma,Central,Furnishings,"Master Giant Foot Doorstop, Safety Yellow",30.36,4,0.0,13.0548
Standard Class,Consumer,New York City,New York,East,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1317.492,6,0.1,190.4298
Standard Class,Consumer,Los Angeles,California,West,Furnishings,"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",86.26,2,0.0,29.3284
Standard Class,Home Office,Chandler,Arizona,West,Furnishings,Acrylic Self-Standing Desk Frames,10.02,4,0.2,1.9224
Standard Class,Home Office,Chandler,Arizona,West,Chairs,Global Leather Executive Chair,842.376,3,0.2,105.297
First Class,Consumer,Kirkwood,Missouri,Central,Furnishings,"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",212.94,3,0.0,34.0704
Second Class,Home Office,Chicago,Illinois,Central,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,569.058,3,0.3,-153.3456
Second Class,Home Office,Chicago,Illinois,Central,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",14.224,2,0.6,-10.3124
Standard Class,Corporate,Seattle,Washington,West,Bookcases,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",1317.492,8,0.0,190.4298
Second Class,Consumer,Taylor,Michigan,Central,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156
Standard Class,Consumer,Pasadena,California,West,Chairs,Novimex Turbo Task Chair,170.352,3,0.2,-17.0352
Standard Class,Consumer,Midland,Michigan,Central,Chairs,Hon Every-Day Series Multi-Task Chairs,563.94,3,0.0,112.788
Second Class,Corporate,Detroit,Michigan,Central,Chairs,HON 5400 Series Task Chairs for Big and Tall,1317.492,5,0.0,190.4298
Standard Class,Consumer,Waco,Texas,Central,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,328.3992,3,0.32,-91.7586
Standard Class,Corporate,Los Angeles,California,West,Furnishings,Flat Face Poster Frame,37.68,2,0.0,15.8256
Standard Class,Consumer,Columbus,Indiana,Central,Chairs,Hon Multipurpose Stacking Arm Chairs,1317.492,7,0.0,190.4298
Second Class,Corporate,Columbia,South Carolina,South,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,397.6,5,0.0,43.736
Standard Class,Consumer,Oakland,California,West,Furnishings,Tensor Computer Mounted Lamp,104.23,7,0.0,28.1421
Same Day,Consumer,Detroit,Michigan,Central,Chairs,Harbour Creations 67200 Series Stacking Chairs,498.26,7,0.0,134.5302
Standard Class,Home Office,Detroit,Michigan,Central,Bookcases,"Hon Metal Bookcases, Gray",212.94,3,0.0,57.4938
Standard Class,Consumer,New York City,New York,East,Bookcases,O'Sullivan Living Dimensions 5-Shelf Bookcases,353.568,2,0.2,-44.196
Second Class,Consumer,Fresno,California,West,Tables,Chromcraft Round Conference Tables,697.16,5,0.2,8.7145
Second Class,Consumer,Fresno,California,West,Furnishings,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",30.93,1,0.0,12.6813
Standard Class,Corporate,Texarkana,Arkansas,South,Chairs,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,605.34,6,0.0,145.2816
First Class,Consumer,San Francisco,California,West,Tables,Hon Racetrack Conference Tables,210.008,1,0.2,2.6251
Standard Class,Consumer,Columbia,Maryland,East,Furnishings,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",164.22,3,0.0,50.9082
Standard Class,Consumer,Columbia,Maryland,East,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,362.94,3,0.0,36.294
Second Class,Corporate,Los Angeles,California,West,Tables,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",136.464,2,0.2,15.3522
Second Class,Corporate,Bethlehem,Pennsylvania,East,Chairs,"Situations Contoured Folding Chairs, 4/Set",99.372,2,0.3,-7.098
Second Class,Corporate,Bethlehem,Pennsylvania,East,Furnishings,36X48 HARDFLOOR CHAIRMAT,33.568,2,0.2,-5.4548
First Class,Home Office,Houston,Texas,Central,Tables,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",200.795,1,0.3,-22.948
Same Day,Consumer,San Francisco,California,West,Furnishings,"6"" Cubicle Wall Clock, Black",32.36,4,0.0,11.6496
Same Day,Corporate,Los Angeles,California,West,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",27.92,4,0.0,8.0968
Same Day,Corporate,Los Angeles,California,West,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",399.672,7,0.2,-14.9877
Second Class,Consumer,Burlington,Vermont,East,Chairs,Safco Contoured Stacking Chairs,715.2,3,0.0,178.8
Standard Class,Home Office,Odessa,Texas,Central,Chairs,"Padded Folding Chairs, Black, 4/Carton",340.116,6,0.3,-9.7176
Standard Class,Corporate,Rochester,Minnesota,Central,Furnishings,Longer-Life Soft White Bulbs,10.02,2,0.0,2.9568
First Class,Consumer,Louisville,Colorado,West,Bookcases,Bestar Classic Bookcase,89.991,3,0.6,-152.9847
Standard Class,Consumer,Houston,Texas,Central,Chairs,SAFCO Arco Folding Chair,966.7,5,0.3,-13.81
Standard Class,Consumer,Medina,Ohio,East,Tables,KI Adjustable-Height Table,51.588,1,0.4,-15.4764
Standard Class,Consumer,Yonkers,New York,East,Furnishings,Tensor Computer Mounted Lamp,14.89,1,0.0,4.0203
Standard Class,Corporate,Springfield,Virginia,South,Tables,Hon Rectangular Conference Tables,1317.492,8,0.0,190.4298
Standard Class,Consumer,Decatur,Illinois,Central,Chairs,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,37.296,2,0.3,-1.0656
First Class,Home Office,Garland,Texas,Central,Furnishings,Dana Swing-Arm Lamps,10.02,2,0.6,-7.476
Standard Class,Corporate,Oceanside,New York,East,Furnishings,9-3/4 Diameter Round Wall Clock,68.95,5,0.0,28.959
First Class,Consumer,Houston,Texas,Central,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",191.058,3,0.3,-46.3998
Standard Class,Corporate,San Francisco,California,West,Furnishings,"Seth Thomas 16"" Steel Case Clock",64.96,2,0.0,21.4368
Standard Class,Consumer,Greensboro,North Carolina,South,Chairs,"Global Stack Chair without Arms, Black",187.056,8,0.2,11.691
First Class,Home Office,Knoxville,Tennessee,South,Furnishings,"Eldon Expressions Wood Desk Accessories, Oak",11.808,2,0.2,1.3284
First Class,Home Office,Knoxville,Tennessee,South,Furnishings,Eldon 500 Class Desk Accessories,10.02,1,0.2,1.5691
First Class,Home Office,Knoxville,Tennessee,South,Tables,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,1317.492,7,0.4,-153.3456
First Class,Home Office,Knoxville,Tennessee,South,Furnishings,"Eldon Image Series Desk Accessories, Ebony",19.76,2,0.2,5.928
Standard Class,Consumer,Lakewood,California,West,Furnishings,"Eldon Image Series Desk Accessories, Burgundy",25.08,6,0.0,9.0288
Standard Class,Consumer,New York City,New York,East,Furnishings,"Howard Miller 16"" Diameter Gallery Wall Clock",63.94,1,0.0,24.9366
Standard Class,Consumer,Newark,Delaware,East,Furnishings,Acrylic Self-Standing Desk Frames,10.68,4,0.0,4.0584
Standard Class,Corporate,Los Angeles,California,West,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",279.456,6,0.2,20.9592
Standard Class,Corporate,Fayetteville,North Carolina,South,Bookcases,Sauder Cornerstone Collection Library,198.272,8,0.2,-32.2192
Standard Class,Consumer,Wichita,Kansas,Central,Furnishings,"Executive Impressions 10"" Spectator Wall Clock",70.56,6,0.0,23.9904
Standard Class,Corporate,Oak Park,Michigan,Central,Furnishings,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",273.96,2,0.0,71.2296
Standard Class,Corporate,Oak Park,Michigan,Central,Furnishings,Luxo Professional Combination Clamp-On Lamps,306.9,3,0.0,79.794
Standard Class,Corporate,Houston,Texas,Central,Tables,KI Conference Tables,347.361,7,0.3,-69.4722
Standard Class,Corporate,Wilmington,Delaware,East,Bookcases,Sauder Inglewood Library Bookcases,1025.88,6,0.0,190.4298
Same Day,Corporate,San Francisco,California,West,Furnishings,Nu-Dell Executive Frame,63.2,5,0.0,23.384
Standard Class,Consumer,Los Angeles,California,West,Bookcases,Bush Somerset Collection Bookcase,556.665,5,0.15,6.549
First Class,Consumer,Los Angeles,California,West,Furnishings,3M Polarizing Light Filter Sleeves,111.9,6,0.0,51.474
Same Day,Home Office,Los Angeles,California,West,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",599.165,5,0.15,35.245
First Class,Consumer,Saint Petersburg,Florida,South,Furnishings,Telescoping Adjustable Floor Lamp,31.984,2,0.2,1.999
First Class,Corporate,Palm Coast,Florida,South,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,19.52,2,0.2,5.368
First Class,Corporate,Palm Coast,Florida,South,Furnishings,Luxo Adjustable Task Clamp Lamp,213.216,3,0.2,15.9912
Standard Class,Home Office,Olathe,Kansas,Central,Furnishings,"Seth Thomas 8 1/2"" Cubicle Clock",40.56,2,0.0,12.9792
Standard Class,Consumer,Edmonds,Washington,West,Furnishings,Hand-Finished Solid Wood Document Frame,68.46,2,0.0,20.538
Second Class,Consumer,San Francisco,California,West,Tables,"Bush Cubix Conference Tables, Fully Assembled",1317.492,8,0.2,92.392
Standard Class,Consumer,Los Angeles,California,West,Furnishings,Longer-Life Soft White Bulbs,10.02,3,0.0,4.4352
First Class,Consumer,Scottsdale,Arizona,West,Bookcases,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5,0.6,-153.3456
Standard Class,Consumer,San Francisco,California,West,Chairs,"Global Deluxe Stacking Chair, Gray",122.352,3,0.2,13.7646
First Class,Home Office,San Diego,California,West,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",585.552,3,0.2,73.194
Standard Class,Consumer,Parker,Colorado,West,Furnishings,OIC Stacking Trays,13.36,5,0.2,4.008
Standard Class,Consumer,Parker,Colorado,West,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,102.018,7,0.6,-153.3456
Standard Class,Consumer,Miami,Florida,South,Chairs,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",419.136,4,0.2,-68.1096
Second Class,Corporate,Jacksonville,Florida,South,Chairs,"Global Wood Trimmed Manager's Task Chair, Khaki",218.352,3,0.2,-19.1058
Same Day,Home Office,San Francisco,California,West,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",411.332,4,0.15,-4.8392
Second Class,Consumer,New York City,New York,East,Chairs,Hon Mobius Operator's Chair,664.146,6,0.1,88.5528
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furnishings,Eldon Image Series Black Desk Accessories,10.02,1,0.2,0.6624
Standard Class,Consumer,San Francisco,California,West,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",145.9,5,0.0,62.737
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Chairs,Global Chrome Stack Chair,239.96,8,0.3,-10.284
Standard Class,Corporate,Philadelphia,Pennsylvania,East,Furnishings,Hand-Finished Solid Wood Document Frame,54.768,2,0.2,6.846
Standard Class,Consumer,Chicago,Illinois,Central,Chairs,High-Back Leather Manager's Chair,181.986,2,0.3,-54.5958
Standard Class,Corporate,Tucson,Arizona,West,Tables,"SAFCO PlanMaster Boards, 60w x 37-1/2d, White Melamine",455.97,6,0.5,-153.3456
First Class,Consumer,Draper,Utah,West,Furnishings,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,2,0.0,10.5672
Standard Class,Corporate,Houston,Texas,Central,Bookcases,Bestar Classic Bookcase,67.9932,1,0.32,-12.9987
Second Class,Corporate,Montgomery,Alabama,South,Furnishings,"Master Caster Door Stop, Gray",10.16,2,0.0,3.4544
Standard Class,Corporate,Jackson,Mississippi,South,Furnishings,Stackable Trays,10.02,2,0.0,1.9712
Same Day,Home Office,Chicago,Illinois,Central,Chairs,SAFCO Folding Chair Trolley,89.768,1,0.3,-2.5648
Standard Class,Consumer,Pasadena,California,West,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",383.64,6,0.0,122.7648
Second Class,Consumer,Los Angeles,California,West,Chairs,Novimex Fabric Task Chair,243.92,5,0.2,-15.245
Standard Class,Home Office,Clinton,Maryland,East,Furnishings,24-Hour Round Wall Clock,19.98,1,0.0,8.5914
Second Class,Consumer,San Diego,California,West,Furnishings,Stackable Trays,10.02,2,0.0,1.9712
Second Class,Corporate,Lakewood,New Jersey,East,Chairs,"Global High-Back Leather Tilter, Burgundy",245.98,2,0.0,27.0578
Standard Class,Corporate,Greensboro,North Carolina,South,Furnishings,Dana Swing-Arm Lamps,17.088,2,0.2,1.068
Standard Class,Corporate,Greensboro,North Carolina,South,Chairs,"Global High-Back Leather Tilter, Burgundy",98.392,1,0.2,-11.0691
Standard Class,Corporate,Memphis,Tennessee,South,Furnishings,Advantus Panel Wall Certificate Holder - 8.5x11,19.52,2,0.2,5.368
Standard Class,Corporate,La Crosse,Wisconsin,Central,Chairs,"Global Fabric Manager's Chair, Dark Gray",201.96,2,0.0,50.49
Standard Class,Corporate,La Crosse,Wisconsin,Central,Furnishings,Eldon Expressions Mahogany Wood Desk Collection,68.64,8,0.0,17.16
Second Class,Home Office,Seattle,Washington,West,Furnishings,Longer-Life Soft White Bulbs,10.02,2,0.0,2.9568
Second Class,Home Office,Seattle,Washington,West,Tables,"Bevis Oval Conference Table, Walnut",1317.492,8,0.0,190.4298
Standard Class,Corporate,Miami,Florida,South,Chairs,Hon Comfortask Task/Swivel Chairs,273.552,3,0.2,-13.6776
Second Class,Home Office,Philadelphia,Pennsylvania,East,Tables,"Iceberg OfficeWorks 42"" Round Tables",815.292,8,0.4,-153.3456
Standard Class,Consumer,Chesapeake,Virginia,South,Tables,Hon 2111 Invitation Series Corner Table,1256.22,6,0.0,75.3732
Standard Class,Corporate,Dearborn,Michigan,Central,Furnishings,"Career Cubicle Clock, 8 1/4"", Black",60.84,3,0.0,23.1192
Standard Class,Consumer,San Diego,California,West,Chairs,SAFCO Arco Folding Chair,1317.492,6,0.2,149.148
Standard Class,Consumer,San Diego,California,West,Chairs,Safco Contoured Stacking Chairs,572.16,3,0.2,35.76
Second Class,Home Office,Columbus,Georgia,South,Furnishings,Regeneration Desk Collection,10.02,4,0.0,3.0976
Standard Class,Corporate,Morristown,New Jersey,East,Furnishings,Tensor Computer Mounted Lamp,74.45,5,0.0,20.1015
Standard Class,Corporate,Alexandria,Virginia,South,Furnishings,DAX Wood Document Frame,192.22,8,0.0,69.1992
Second Class,Corporate,Apple Valley,California,West,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",1194.165,5,0.15,190.4298
First Class,Home Office,Salem,Oregon,West,Tables,"Iceberg OfficeWorks 42"" Round Tables",377.45,5,0.5,-153.3456
Standard Class,Home Office,Aurora,Colorado,West,Furnishings,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,21.44,2,0.2,7.504
Second Class,Consumer,Pocatello,Idaho,West,Furnishings,Luxo Adjustable Task Clamp Lamp,355.36,4,0.0,92.3936
Standard Class,Consumer,Chicago,Illinois,Central,Furnishings,Tenex Chairmats For Use with Hard Floors,38.976,3,0.6,-50.6688
Same Day,Consumer,Apopka,Florida,South,Furnishings,"DataProducts Ampli Magnifier Task Lamp, Black,",129.888,6,0.2,12.9888
